Donor's Source of Wealth,Wealth Category
Manufacturing,Manufacturing
Investments,Finance
"Health care, Investments",Healthcare
Media and entertainment,Entertainment
Finance,Finance
Technology,Technology
Entertainment,Entertainment
,Other
"Finance, Investments",Finance
Education,Education
Food and beverage,Entertainment
Family wealth,Family wealth
Telecommunications,Technology
Retail,Retail
"Health products, Investments, Manufacturing",Healthcare
"Energy, Oil",Oil
"Casinos, Family wealth, Hotels",Family wealth
Real estate,Real Estate
"Real estate, Engineering",Real Estate
Energy,Oil
Health products,Healthcare
Professional Sports,Other
"Consulting, Finance",Finance
"Media and entertainment, Telecommunications",Entertainment
"Chemicals, Media and entertainment, Real estate, Telecommunications",Oil
"Investments, Manufacturing",Finance
"Agriculture, Finance, Oil",Finance
Engineering,
"Family wealth, Manufacturing",Family wealth
Health care,Healthcare
"Insurance, Oil",Oil
"Finance, Insurance",Finance
Transportation,Oil
Pharmaceuticals,Healthcare
"Finance, Real estate",Finance
Agriculture,Oil
"Family wealth, Food and beverage",Family wealth
Law,Other
"Casinos, Professional Sports",Other
Marketing,Other
"Finance, Professional Sports",Finance
Industry,Other
"Family wealth, Oil",Oil
"Law, Real estate",Real Estate
"Finance, Hotels",Finance
"Hotels, Law",Other
"Investments, Real estate",Finance
Chemicals,Oil
"Health care, Real estate",Healthcare
Construction,Real Estate
Mineral exploration,Oil
"Industry, Transportation",Transportation
"Finance, Technology",Finance
"Investments, Retail",Finance
"Agriculture, Real estate",Oil
"Investments, Telecommunications",Finance
"Technology, Telecommunications",Technology
"Family wealth, Investments",Family wealth
Biotechnology,Technology
"Construction, Finance",Finance
"Finance, Retail",Finance
Oil,Oil
"Retail, Transportation",Retail
"Investments, Technology",Finance
"Energy, Finance",Finance
"Family wealth, Investments, Real estate",Family wealth
"Family wealth, Finance",Family wealth
"Agriculture, Entertainment, Investments",Oil
"Agriculture, Construction, Real estate",Oil
Insurance,Other
"Finance, Food and beverage, Investments",Finance
Government,Government
"Entertainment, Family wealth",Entertainment
Casinos,Other
"Family wealth, Real estate",Family wealth
Consulting,Other
"Industry, Manufacturing",Manufacturing
"Family wealth, Retail",Family wealth
"Family wealth, Pharmaceuticals",Family wealth
"Food and beverage, Real estate",Real Estate
Defense contracting,Government
"Professional Sports, Real estate",Real Estate
"Education, Finance",Education
"Family wealth, Hotels",Family wealth
"Entertainment, Hotels, Technology",Entertainment
"Finance, Manufacturing",Finance
"Advertising, Investments",Finance
Advertising,Finance
"Education, Health care",Education
Commodities,Finance
"Agriculture, Investments",Oil
"Government, Law",Government
"Agriculture, Finance",Finance
"Insurance, Law",Other
"Health products, Manufacturing",Healthcare
"Consulting, Government",Government
"Education, Law",Education
"Agriculture, Family wealth",Oil
"Family wealth, Invention",Family wealth
"Education, Real estate",Education
"Investments, Media and entertainment",Entertainment
Hotels,Other
"Family wealth, Transportation",Family wealth
"Chemicals, Manufacturing",Oil
"Real estate, Transportation",Real Estate
"Construction, Manufacturing",Manufacturing
"Education, Engineering",Education
"Invention, Media and entertainment",Entertainment
"Health care, Technology",Healthcare
"Family wealth, Media and entertainment",Entertainment
"Consulting, Health care, Investments",Healthcare
"Retail, Technology",Technology
"Biotechnology, Investments",Technology
"Manufacturing, Professional Sports",Manufacturing
"Education, Government",Education
"Finance, Hotels, Media and entertainment, Real estate",Finance
"Energy, Family wealth",Oil
"Finance, Industry",Finance
"Hotels, Professional Sports",Other
"Transportation, Engineering",Transportation
"Finance, Professional Sports, Retail",Finance
"Finance, Government, Law",Finance
"Finance, Government",Finance
"Agriculture, Food and beverage, Investments",Oil
"Casinos, Hotels",Other
"Investments, Law",Finance
Corporate finance,Finance
"Media and entertainment, Professional Sports",Entertainment
"Retail, Technology, Transportation",Technology
Lottery,Other
"Industry, Real estate",Real Estate
"Industry, Technology",Technology
"Entertainment, Investments, Technology",Entertainment
"Technology, Engineering",Technology
"Construction, Family wealth",Family wealth
"Family wealth, Real estate, Retail",Family wealth
"Family wealth, Law",Family wealth
"Professional Sports, Transportation",Transportation
"Food and beverage, Retail",Retail
"Education, Investments",Education
"Education, Family wealth",Education
"Manufacturing, Real estate",Manufacturing
"Education, Transportation",Education
"Advertising, Family wealth, Investments",Family wealth
"Health care, Pharmaceuticals",Healthcare
"Chemicals, Technology",Technology
"Food and beverage, Investments",Finance
"Agriculture, Industry",Oil
"Health care, Insurance",Healthcare
"Health products, Invention",Healthcare
"Agriculture, Food and beverage",Oil
"Construction, Real estate",Real Estate
"Manufacturing, Retail",Manufacturing
"Defense contracting, Manufacturing",Manufacturing
"Manufacturing, Transportation",Manufacturing
"Entertainment, Finance",Entertainment
"Finance, Law",Finance
"Family wealth, Finance, Investments",Family wealth
"Family wealth, Insurance",Family wealth
"Energy, Hotels",Oil
"Entertainment, Health care",Entertainment
"Consulting, Engineering",Other
"Family wealth, Industry",Family wealth
"Law, Manufacturing",Manufacturing
"Hotels, Real estate",Real Estate
"Real estate, Retail",Real Estate
"Chemicals, Real estate",Oil
"Insurance, Real estate",Real Estate
"Family wealth, Technology",Family wealth
"Family wealth, Finance, Real estate",Family wealth
"Consulting, Health care",Healthcare
Invention,Other
"Entertainment, Real estate",Entertainment
"Government, Media and entertainment",Entertainment
"Entertainment, Technology",Entertainment
"Chemicals, Family wealth",Family wealth
"Education, Pharmaceuticals",Education
"Energy, Law, Oil",Oil
"Family wealth, Health products",Family wealth
"Family wealth, Professional Sports",Family wealth
"Finance, Pharmaceuticals",Finance
"Health care, Media and entertainment",Healthcare
"Real estate, Technology",Technology
"Family wealth, Health care",Family wealth
"Family wealth, Telecommunications",Family wealth
"Finance, Health products",Finance
"Law, Technology",Technology
"Education, Hotels",Education
"Finance, Media and entertainment",Finance
"Consulting, Retail",Retail
"Consulting, Marketing",Other
